epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.4847,3.85754,5.38119,3.79273,0.00044,0.01873,0.00024,5e-05,3.52839,4.46191,4.10085,0.0701339,0.00331845,0.00331845
2,112.81,3.18328,4.26508,2.9383,0.12032,0.18542,0.0664,0.02129,2.61002,3.79798,2.69822,0.0400681,0.00658593,0.00658593
3,169.892,2.51931,3.29417,2.42396,0.19426,0.297,0.20104,0.09365,2.13985,6.77047,2.29059,0.00993622,0.00978741,0.00978741
4,226.841,2.16622,2.72259,2.13475,0.2594,0.27903,0.20239,0.08602,2.20247,2.8649,2.24811,0.009703,0.009703,0.009703
5,283.525,1.93731,2.34995,1.93061,0.46301,0.41203,0.40972,0.20255,1.72846,2.03769,1.86325,0.009604,0.009604,0.009604
6,340.687,1.84619,2.1326,1.8379,0.58024,0.49499,0.5313,0.27504,1.71965,1.73879,1.85437,0.009505,0.009505,0.009505
7,397.169,1.75429,1.95962,1.74679,0.49619,0.48349,0.41949,0.22571,1.72768,1.72889,1.8605,0.009406,0.009406,0.009406
8,454.633,1.71754,1.8956,1.72933,0.68219,0.54074,0.60633,0.3271,1.61974,1.72142,1.75411,0.009307,0.009307,0.009307
9,512.098,1.69697,1.83679,1.68523,0.7009,0.5577,0.63701,0.34263,1.60165,1.60736,1.74305,0.009208,0.009208,0.009208
10,570.065,1.65573,1.71789,1.65272,0.72063,0.59849,0.6544,0.36346,1.55332,1.44022,1.6932,0.009109,0.009109,0.009109
11,643.529,1.6313,1.67891,1.64638,0.75173,0.60972,0.69403,0.37408,1.58759,1.34067,1.70877,0.00901,0.00901,0.00901
12,711.133,1.59387,1.61186,1.61912,0.79538,0.6058,0.71032,0.40918,1.48722,1.28058,1.63458,0.008911,0.008911,0.008911
13,777.961,1.58824,1.56021,1.59614,0.73165,0.63598,0.71108,0.40946,1.44661,1.25581,1.59666,0.008812,0.008812,0.008812
14,844.934,1.56799,1.53186,1.58385,0.74626,0.62901,0.71663,0.40832,1.47185,1.26895,1.62565,0.008713,0.008713,0.008713
15,911.643,1.5409,1.49123,1.56296,0.71851,0.63438,0.68307,0.3886,1.47228,1.20944,1.62338,0.008614,0.008614,0.008614
16,979.798,1.52891,1.46476,1.55643,0.72591,0.68148,0.7072,0.41419,1.42679,1.17399,1.56029,0.008515,0.008515,0.008515
17,1045.97,1.51453,1.43766,1.5478,0.75681,0.67507,0.75309,0.43128,1.45492,1.22492,1.5842,0.008416,0.008416,0.008416
18,1112.61,1.51837,1.4186,1.55317,0.77078,0.68723,0.74404,0.43786,1.4058,1.11146,1.55942,0.008317,0.008317,0.008317
19,1178.13,1.4994,1.40278,1.53194,0.80441,0.67227,0.76596,0.45397,1.41141,1.12505,1.5748,0.008218,0.008218,0.008218
20,1244.34,1.48785,1.36923,1.5298,0.81927,0.71838,0.80018,0.46908,1.40379,1.03089,1.54857,0.008119,0.008119,0.008119
